-18.40 69.98 991 86 2.99 68.56 1473 48 3.30 68.39 2000 58 3.52 68.28 2443 60
-0.68 67.71 1215 121 -0.12 64.18 727 142 -23.29 63.70 3232 0 -0.12 64.18 727 142
-36.11 62.68 1516 20 -23.33 62.99 2191 25 -39.50 61.76 1875 38 -39.20 61.63 1641 34
-35.00 62.32 1203 20 -34.01 62.11 1131 16 -33.00 62.07 1448 7 -32.00 62.06 1533 6
-31.00 62.01 1635 5 -30.00 61.94 1675 5 -29.00 61.88 1854 3 -28.00 61.82 1826 2
-57.52 60.53 -24 64 -38.70 61.41 1396 31 -38.00 61.13 1097 31 -37.01 60.79 1042 21
-36.02 60.58 1167 12 -35.00 60.53 1321 7 -34.00 60.52 1342 5 -33.47 60.50 1215 4
-28.79 61.27 2245 72 -27.00 61.29 2028 5 -23.00 61.43 1672 15 -22.00 61.34 1704 21
-21.00 61.26 1644 19 -19.97 61.13 1318 27 -19.02 60.75 1474 23 -32.97 60.47 1404 4
-32.00 60.42 1386 3 -31.00 60.37 1735 2 -30.00 60.32 1729 2 -29.00 60.25 1847 1
-28.00 60.20 1726 3 -27.00 60.14 1560 7 -26.00 60.05 1410 8 -25.00 59.96 1504 8
-24.00 59.89 1616 12 -23.00 59.83 1417 21 -22.29 59.77 1254 22 -18.54 60.47 1647 18
-18.21 60.22 1735 15 -59.50 59.31 1422 60 -140.05 58.33 -359 132 -175.00 56.51 -665 131
-139.97 57.32 -352 126 -31.78 57.48 1521 0 168.39 56.39 -211 82 -176.72 55.62 -614 126
-176.00 55.99 -576 123 -175.26 56.38 -610 126 -173.87 56.18 -731 134 -172.29 55.65 -642 120
-178.69 55.17 -308 116 -177.96 54.96 -834 139 -177.21 55.35 -700 130 -176.50 54.67 -372 126
-135.63 54.53 185 125 -135.32 54.63 221 79 -42.91 54.77 920 83 -176.07 53.90 -202 115
-135.99 54.20 618 105 177.44 53.39 -204 111 -175.95 52.64 309 101 -157.10 53.23 5 57
-141.17 52.60 260 53 -138.75 53.13 17 80 -133.90 53.40 -828 122 -154.47 51.50 234 66
-148.37 50.73 119 27 -145.18 51.38 223 31 -169.80 47.93 -93 41 -174.82 46.88 -388 22
-126.07 46.93 -314 112 -9.85 46.89 -62 85 -143.18 45.57 -38 46 -128.80 45.87 398 76
-127.03 46.50 237 104 -125.97 46.23 -191 105 -15.35 46.14 995 107 -144.47 45.02 1 54
-132.63 44.70 -95 66 -163.78 44.30 -184 20 -143.12 43.82 -120 30 -140.63 43.97 -206 20
-137.10 43.75 92 48 -125.83 44.11 121 67 -134.45 43.00 -13 45 -160.65 40.98 234 57
-128.41 40.90 292 110 -126.67 40.97 319 100 -125.79 40.98 652 82 -18.96 40.56 -260 95
145.38 39.88 -165 44 146.00 39.78 -22 44 -172.98 39.70 -240 37 -136.27 40.30 -473 26
-128.18 40.07 -380 58 -67.12 39.83 -1020 220 -65.27 40.24 -370 74 -58.73 39.56 -940 51
-136.17 38.90 5 16 -128.00 38.58 -221 47 -124.92 39.15 31 96 -70.72 38.57 -474 173
-70.00 38.83 -319 170 -68.94 39.16 -278 156 -68.21 39.40 -297 154 -58.98 39.00 -779 43
-39.04 38.75 23 74 -37.12 39.12 629 123 -35.29 38.75 1034 94 171.99 37.70 -262 45
-125.02 38.14 -418 72 -71.91 38.02 -480 175 -71.24 38.12 -484 168 -69.99 37.54 -252 69
-66.17 38.23 302 123 -64.56 37.52 -119 23 -64.00 37.70 -80 21 -63.00 37.73 -245 25
-62.29 37.55 -705 43 -60.82 37.61 -680 35 -60.00 37.90 -213 17 -59.35 38.23 -505 29
-157.03 37.15 -241 39 -143.12 37.25 -218 32 -125.87 37.47 -344 64 -72.95 37.11 -580 185
-72.47 36.96 -468 155 -70.58 37.26 -281 70 -69.22 36.82 -193 50 -67.52 36.51 190 18
-67.00 36.69 -299 31 -66.00 37.02 -269 30 -65.05 37.35 -124 25 -61.85 37.44 -753 43
-61.31 37.44 -397 25 17.86 36.00 -1283 228 -125.89 35.62 -156 39 -125.03 35.52 -187 12
-72.29 35.66 -438 85 -69.94 36.06 -148 48 -68.90 36.22 -118 40 -68.03 36.34 11 28
-142.52 35.08 -101 28 -125.10 34.98 -187 48 -123.27 35.15 -231 67 -73.99 35.01 -643 155
-69.42 34.78 -366 22 -26.04 35.29 1393 37 -173.05 34.33 151 50 -134.25 34.45 -348 37
-126.03 34.48 -322 43 -122.13 34.37 308 71 -74.76 33.69 -971 152 -74.01 33.99 -996 122
-70.16 34.27 -397 24 -69.22 33.91 -199 15 -63.03 34.47 138 109 28.10 33.14 -2204 392
152.51 32.52 -396 44 -127.07 32.83 76 42 -125.93 32.98 64 53 -75.64 32.65 -1018 197
